,Unnamed: 0,Country Name,Country Code,2023 Life Expectancy,GDP,Population,region
164,181,Timor-Leste,TLS,69.056,2.243142908,1360596,Asia
165,185,Trinidad and Tobago,TTO,74.708,28.13994479,1534937,Americas
166,186,Tunisia,TUN,74.263,48.52959542,12458223,Africa
167,187,Turkiye,TUR,78.475,1110.0,85326000,Asia
168,188,Tuvalu,TUV,64.854,0.062280312,11396,Oceania
169,189,Tanzania,TZA,66.782,79.15828633,67438106,Africa
170,190,Uganda,UGA,63.638,49.27288221,48582334,Africa
171,191,Ukraine,UKR,68.58792683,179.0,37000000,Europe
172,193,Uruguay,URY,78.0,77.24083159,3423108,Americas
173,194,United States,USA,77.43414634,27400.0,334914895,Americas
174,195,Uzbekistan,UZB,71.674,90.88914931,36412350,Asia
175,196,St. Vincent and the Grenadines,VCT,68.972,1.065962963,103698,Americas
176,197,Viet Nam,VNM,74.58,430.0,98858950,Asia
177,198,Vanuatu,VUT,70.492,1.126313359,334506,Oceania
178,199,Samoa,WSM,72.598,0.934100336,225681,Oceania
179,201,South Africa,ZAF,61.48,378.0,60414495,Africa
180,202,Zambia,ZMB,61.803,28.16263095,20569737,Africa
181,203,Zimbabwe,ZWE,59.391,26.5382735,16665409,Africa
